country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
AL,2023,21730.5,2761785.0,AL,7868.280840108842,8497.74330731755,,0.1841
AT,1995,183629.2,7943489.0,Austria,23116.945211354858,24966.300828263247,,1.7118
AT,1996,185944.9,7953067.0,Austria,23380.275810577226,25250.697875423408,,1.6518
AT,1997,186913.0,7964966.0,Austria,23466.892388492306,25344.24377957169,,1.5688
AT,1998,193947.0,7971116.0,Austria,24331.222880208996,26277.720710625716,,1.5543
AT,1999,203064.9,7982461.0,Austria,25438.884073470574,27473.99479934822,,1.5635
AT,2000,212406.8,8002186.0,Austria,26543.596962130097,28667.08471910051,,1.6045
AT,2001,219373.3,8020946.0,Austria,27350.05322314849,29538.05748100037,,1.5993
AT,2002,225087.9,8063640.0,Austria,27913.932169590906,30147.046743158182,,1.5595
AT,2003,230541.9,8100273.0,Austria,28461.003721726414,30737.88401946453,,1.5575
AT,2004,240541.7,8142573.0,Austria,29541.239605711857,31904.538774168806,,1.5348
AT,2005,252354.9,8201359.0,Austria,30769.888258762967,33231.47931946401,,1.4954
AT,2006,265933.7,8254298.0,Austria,32217.603483663905,34795.01176235702,,1.4985
AT,2007,282208.2,8282984.0,Austria,34070.83727313732,36796.50425498831,,1.4776
AT,2008,291846.2,8307989.0,Austria,35128.380646628204,37938.65109835846,,1.5379
AT,2009,286274.1,8335003.0,Austria,34346.01043334958,37093.691268017545,,1.6115
AT,2010,294050.6,8351643.0,Austria,35208.712824530456,38025.40985049289,,1.563
AT,2011,308167.0,8375164.0,Austria,36795.339171865766,39738.96630561503,,1.5551
AT,2012,316589.4,8408121.0,Austria,37652.81208488793,40665.03705167897,,1.5294
AT,2013,321191.7,8451860.0,Austria,38002.48702652434,41042.685988646284,,1.3491
AT,2014,330113.5,8507786.0,Austria,38801.34032520329,41905.44755121956,,1.3778
AT,2015,342083.5,8584926.0,Austria,39846.99460426333,43034.7541726044,,1.3348
AT,2016,355665.6,8700471.0,Austria,40878.89034972934,44149.201577707696,,1.3761
AT,2017,367294.9,8772865.0,Austria,41867.15514259025,45216.527553997475,,1.3539
AT,2018,383234.3,8822267.0,Austria,43439.43569152917,46914.59054685151,,1.3685
AT,2019,395706.8,8858775.0,Austria,44668.342970670325,48241.81040832395,,1.3669
AT,2020,380317.9,8901064.0,Austria,42727.2402490309,46145.419468953376,,1.3608
AT,2021,406231.5,8932664.0,Austria,45477.08276052922,49115.24938137156,,1.2882
AT,2022,449382.2,8978929.0,Austria,50048.5302868527,54052.41270980092,,1.2719
AT,2023,477837.3,9104772.0,Austria,52482.072038706734,56680.63780180328,,1.2276
AT,2024,494087.6,9158750.0,Austria,53947.05609389928,58262.82058141122,,1.1812
AT,2025,514328.1,9197213.0,Austria,55922.16903098798,60395.94255346702,,1.2884
BA,2000,6043.3,3753085.0,BA,1610.2219907089768,1739.0397499656951,,0.0973
BA,2001,6482.2,3789717.0,BA,1710.4707290808258,1847.308387407292,,0.1
BA,2002,7149.1,3813167.0,BA,1874.8457646885122,2024.8334258635932,,0.1047
BA,2003,7530.3,3830349.0,BA,1965.9566269287734,2123.2331570830756,,0.1076
BA,2004,8179.7,3837414.0,BA,2131.5656845990557,2302.0909393669804,,0.1107
BA,2005,9024.5,3842532.0,BA,2348.5816123327013,2536.4681413193175,,0.1141
BA,2006,10255.1,3842650.0,BA,2668.7572378436757,2882.25781687117,,0.1241
BA,2007,11528.5,3844017.0,BA,2999.076226770069,3239.0023249116744,,0.1301
BA,2008,13047.8,3843846.0,BA,3394.464814667393,3666.0219998407847,,0.1486
BA,2009,12679.3,3843998.0,BA,3298.4668566424853,3562.3442051738843,,0.1548
BA,2010,12968.9,3844046.0,BA,3373.762957050982,3643.663993615061,,0.1498
BA,2011,13411.8,3843183.0,BA,3489.7635631714647,3768.9446482251824,,0.1475
BA,2012,13407.5,3839265.0,BA,3492.2048881752107,3771.5812792292277,,0.1418
BE,1995,220251.5,10130574.0,Belgium,21741.26559857319,23480.56684645905,,1.6099
BE,1996,219965.3,10143047.0,Belgium,21686.31378716869,23421.218890142187,,1.5322
BE,1997,223032.7,10170226.0,Belgium,21929.964978162727,23684.362176415747,,1.4661
BE,1998,231015.7,10192264.0,Belgium,22665.788484285727,24479.051563028588,,1.4479
BE,1999,242307.6,10213752.0,Belgium,23723.66198043579,25621.554938870657,,1.4581
BE,2000,256376.4,10239085.0,Belgium,25038.995183651663,27042.1147983438,,1.5136
BE,2001,264334.9,10263414.0,Belgium,25755.06551718561,27815.47075856046,,1.5061
BE,2002,273255.9,10309725.0,Belgium,26504.6739849996,28625.047903799572,,1.4807
BE,2003,281200.2,10355844.0,Belgium,27153.76940788216,29326.070960512734,,1.486
BE,2004,296819.7,10396421.0,Belgium,28550.18087474526,30834.19534472488,,1.4833
BE,2005,310037.6,10445852.0,Belgium,29680.451149413184,32054.88724136624,,1.4425
BE,2006,325151.5,10511382.0,Belgium,30933.27785061945,33407.94007866901,,1.4387
BE,2007,343618.9,10584534.0,Belgium,32464.244528856914,35061.38409116547,,1.408
BE,2008,351743.1,10666866.0,Belgium,32975.29939909248,35613.323351019884,,1.4437
BE,2009,347734.9,10753080.0,Belgium,32338.167297183692,34925.22068095839,,1.5173
BE,2010,363242.4,10839905.0,Belgium,33509.740168387085,36190.51938185805,,1.4876
BE,2011,378745.4,11000638.0,Belgium,34429.40309462051,37183.755342190154,,1.4552
BE,2012,387934.9,11075889.0,Belgium,35025.170440043235,37827.184075246696,,1.4227
BE,2013,394616.3,11137974.0,Belgium,35429.80976612084,38264.19454741051,,1.2578
