idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
51,Game Data Scientist,Socialpoint,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
52,Junior Business Intelligence Support Specialist,Zurich Insurance,Catalonia,Catalonia,data_analyst,Junior,27926.6,1.0741,True,False,28590.0
53,Business/Data Analyst (Power BI),Morgan Philips Group,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
54,Consultor Junior Business Intelligence & Analytics,EY,Catalonia,Catalonia,data_analyst,Junior,27926.6,1.0741,True,False,28590.0
55,Data Analyst Expert,TDCX,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
56,Junior Data Engineer,Sogeti,Catalonia,Catalonia,data_engineer,Junior,33297.1,1.0741,True,True,28590.0
57,Data Analyst,Dow Jones,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
58,Big Data Engineer,Dell Technologies,,Total Nacional,data_engineer,Mid,43500.0,1.0,True,True,
59,Data Scientist,Zurich Insurance,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
60,Data Engineer,Deloitte,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
61,Data Analyst - Partners & Brands (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
62,Privacy Operations Data Analyst,HP,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
63,Analista Predictivo,Zurich Insurance,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,False,False,28590.0
64,Data Analyst,Fenarc,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
65,Data Analyst - Partner Ops Excellence (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
66,Senior Data Analyst,GBfoods (Corporate Brand of Gallina Blanca),Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
67,Reporting Data Analyst,Brico Depôt Iberia (Grupo Kingfisher),Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
68,Data Analyst,MANGO,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
69,Data Analyst - Fraud (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
70,Data Engineer,CaixaBank Tech,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
71,Senior Reporting Data Analyst,Zurich Insurance,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
72,Reporting Data Analyst/Developer,PPG,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,True,28590.0
73,Data Analyst (Power BI & SQL),Michael Page,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
74,Consultor BI Microsoft,,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
75,GO! Graduate IoT & Data Analysis,Essity,Catalonia,Catalonia,data_analyst,Junior,27926.6,1.0741,True,False,28590.0
76,Data Analyst,Grupo Planeta,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
77,Senior Data Analyst - vpTech Data team,Veepee,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
78,Analist funcional BI,TSD Consulting,Catalonia,Catalonia,backend,Mid,38130.55,1.0741,True,False,28590.0
