sector,sector_id,year,sexo,salario_bruto_anual,muestra_pequena
B Industrias extractivas,B,2011,Hombres,29602.06,False
B Industrias extractivas,B,2010,Ambos sexos,28373.35,False
B Industrias extractivas,B,2010,Mujeres,24728.07,True
B Industrias extractivas,B,2010,Hombres,28713.18,False
B Industrias extractivas,B,2009,Ambos sexos,27051.36,False
B Industrias extractivas,B,2009,Mujeres,26213.08,True
B Industrias extractivas,B,2009,Hombres,27123.0,False
B Industrias extractivas,B,2008,Ambos sexos,26647.03,False
B Industrias extractivas,B,2008,Mujeres,23057.4,True
B Industrias extractivas,B,2008,Hombres,26981.1,False
C Industria manufacturera,C,2024,Ambos sexos,32881.61,False
C Industria manufacturera,C,2024,Mujeres,29118.1,False
C Industria manufacturera,C,2024,Hombres,34336.38,False
C Industria manufacturera,C,2023,Ambos sexos,31064.13,False
C Industria manufacturera,C,2023,Mujeres,27028.65,False
C Industria manufacturera,C,2023,Hombres,32604.23,False
C Industria manufacturera,C,2022,Ambos sexos,30000.69,False
C Industria manufacturera,C,2022,Mujeres,25932.76,False
C Industria manufacturera,C,2022,Hombres,31544.67,False
C Industria manufacturera,C,2021,Ambos sexos,28585.65,False
C Industria manufacturera,C,2021,Mujeres,24456.75,False
C Industria manufacturera,C,2021,Hombres,30102.28,False
C Industria manufacturera,C,2020,Ambos sexos,27875.98,False
C Industria manufacturera,C,2020,Mujeres,23765.8,False
C Industria manufacturera,C,2020,Hombres,29383.74,False
C Industria manufacturera,C,2019,Ambos sexos,27604.74,False
C Industria manufacturera,C,2019,Mujeres,23339.25,False
C Industria manufacturera,C,2019,Hombres,29188.87,False
C Industria manufacturera,C,2018,Ambos sexos,27640.12,False
C Industria manufacturera,C,2018,Mujeres,23091.83,False
C Industria manufacturera,C,2018,Hombres,29288.25,False
C Industria manufacturera,C,2017,Ambos sexos,27214.3,False
C Industria manufacturera,C,2017,Mujeres,22857.78,False
C Industria manufacturera,C,2017,Hombres,28741.18,False
C Industria manufacturera,C,2016,Ambos sexos,26698.42,False
C Industria manufacturera,C,2016,Mujeres,22261.93,False
C Industria manufacturera,C,2016,Hombres,28256.2,False
C Industria manufacturera,C,2015,Ambos sexos,26543.77,False
C Industria manufacturera,C,2015,Mujeres,22001.02,False
C Industria manufacturera,C,2015,Hombres,28129.88,False
C Industria manufacturera,C,2014,Ambos sexos,26476.73,False
C Industria manufacturera,C,2014,Mujeres,21923.13,False
C Industria manufacturera,C,2014,Hombres,28086.91,False
C Industria manufacturera,C,2013,Ambos sexos,26042.43,False
C Industria manufacturera,C,2013,Mujeres,21464.92,False
C Industria manufacturera,C,2013,Hombres,27657.92,False
C Industria manufacturera,C,2012,Ambos sexos,25510.48,False
C Industria manufacturera,C,2012,Mujeres,20975.22,False
C Industria manufacturera,C,2012,Hombres,27110.11,False
C Industria manufacturera,C,2011,Ambos sexos,25308.11,False
C Industria manufacturera,C,2011,Mujeres,20683.04,False
C Industria manufacturera,C,2011,Hombres,26923.02,False
C Industria manufacturera,C,2010,Ambos sexos,24863.7,False
C Industria manufacturera,C,2010,Mujeres,20584.23,False
C Industria manufacturera,C,2010,Hombres,26355.18,False
C Industria manufacturera,C,2009,Ambos sexos,23907.49,False
C Industria manufacturera,C,2009,Mujeres,19727.98,False
C Industria manufacturera,C,2009,Hombres,25341.93,False
C Industria manufacturera,C,2008,Ambos sexos,23615.61,False
C Industria manufacturera,C,2008,Mujeres,19072.72,False
C Industria manufacturera,C,2008,Hombres,25233.51,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2024,Ambos sexos,57931.81,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2024,Mujeres,50357.48,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2024,Hombres,61154.83,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2023,Ambos sexos,54447.96,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2023,Mujeres,47681.37,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2023,Hombres,57221.12,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2022,Ambos sexos,55470.69,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2022,Mujeres,49546.23,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2022,Hombres,57488.36,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2021,Ambos sexos,52985.83,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2021,Mujeres,45462.89,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2021,Hombres,55829.66,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2020,Ambos sexos,53775.71,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2020,Mujeres,45975.8,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2020,Hombres,56481.61,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2019,Ambos sexos,52162.53,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2019,Mujeres,45012.17,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2019,Hombres,54357.93,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2018,Ambos sexos,51237.33,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2018,Mujeres,44395.92,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2018,Hombres,53379.93,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2017,Ambos sexos,52014.79,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2017,Mujeres,44656.93,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2017,Hombres,54199.45,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2016,Ambos sexos,50992.09,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2016,Mujeres,44147.19,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2016,Hombres,52959.98,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2015,Ambos sexos,51919.72,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2015,Mujeres,43674.19,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2015,Hombres,54024.87,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2014,Ambos sexos,51034.67,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2014,Mujeres,43473.8,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2014,Hombres,53084.89,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2013,Ambos sexos,52827.56,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2013,Mujeres,44341.93,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2013,Hombres,55348.54,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2012,Ambos sexos,52324.67,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2012,Mujeres,44634.43,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2012,Hombres,54195.64,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2011,Ambos sexos,50371.41,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2011,Mujeres,44662.78,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2011,Hombres,51612.34,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2010,Ambos sexos,48803.35,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2010,Mujeres,41782.57,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2010,Hombres,50426.25,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2009,Ambos sexos,50536.7,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2009,Mujeres,42200.77,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2009,Hombres,52190.69,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2008,Ambos sexos,48578.65,False
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2008,Mujeres,41504.03,True
"D Suministro de energia electrica, gas, vapor y aire acondicionado",D,2008,Hombres,50177.13,False
"E Suministro de agua, saneamiento, residuos",E,2024,Ambos sexos,32362.61,False
"E Suministro de agua, saneamiento, residuos",E,2024,Mujeres,30047.33,False
"E Suministro de agua, saneamiento, residuos",E,2024,Hombres,32944.02,False
"E Suministro de agua, saneamiento, residuos",E,2023,Ambos sexos,30957.29,False
"E Suministro de agua, saneamiento, residuos",E,2023,Mujeres,28399.96,False
"E Suministro de agua, saneamiento, residuos",E,2023,Hombres,31618.62,False
"E Suministro de agua, saneamiento, residuos",E,2022,Ambos sexos,30444.93,False
"E Suministro de agua, saneamiento, residuos",E,2022,Mujeres,28501.84,False
"E Suministro de agua, saneamiento, residuos",E,2022,Hombres,30972.7,False
