sector,sector_id,year,sexo,salario_bruto_anual,muestra_pequena
I Hosteleria,I,2020,Hombres,15767.95,False
I Hosteleria,I,2019,Ambos sexos,14561.75,False
I Hosteleria,I,2019,Mujeres,13410.37,False
I Hosteleria,I,2019,Hombres,16134.55,False
I Hosteleria,I,2018,Ambos sexos,14345.3,False
I Hosteleria,I,2018,Mujeres,12808.88,False
I Hosteleria,I,2018,Hombres,16271.82,False
I Hosteleria,I,2017,Ambos sexos,14540.14,False
I Hosteleria,I,2017,Mujeres,13161.33,False
I Hosteleria,I,2017,Hombres,16138.88,False
I Hosteleria,I,2016,Ambos sexos,14125.34,False
I Hosteleria,I,2016,Mujeres,12608.92,False
I Hosteleria,I,2016,Hombres,15907.9,False
I Hosteleria,I,2015,Ambos sexos,13977.06,False
I Hosteleria,I,2015,Mujeres,12563.08,False
I Hosteleria,I,2015,Hombres,15751.27,False
I Hosteleria,I,2014,Ambos sexos,13636.04,False
I Hosteleria,I,2014,Mujeres,12311.78,False
I Hosteleria,I,2014,Hombres,15368.45,False
I Hosteleria,I,2013,Ambos sexos,13851.08,False
I Hosteleria,I,2013,Mujeres,12536.29,False
I Hosteleria,I,2013,Hombres,15552.49,False
I Hosteleria,I,2012,Ambos sexos,13867.02,False
I Hosteleria,I,2012,Mujeres,12694.16,False
I Hosteleria,I,2012,Hombres,15518.31,False
I Hosteleria,I,2011,Ambos sexos,14234.54,False
I Hosteleria,I,2011,Mujeres,12645.88,False
I Hosteleria,I,2011,Hombres,16216.7,False
I Hosteleria,I,2010,Ambos sexos,14629.55,False
I Hosteleria,I,2010,Mujeres,12825.48,False
I Hosteleria,I,2010,Hombres,16891.74,False
I Hosteleria,I,2009,Ambos sexos,13996.7,False
I Hosteleria,I,2009,Mujeres,12518.34,False
I Hosteleria,I,2009,Hombres,15940.32,False
I Hosteleria,I,2008,Ambos sexos,13957.49,False
I Hosteleria,I,2008,Mujeres,12404.49,False
I Hosteleria,I,2008,Hombres,15885.32,False
J Informacion y comunicaciones,J,2024,Ambos sexos,42741.94,False
J Informacion y comunicaciones,J,2024,Mujeres,38807.08,False
J Informacion y comunicaciones,J,2024,Hombres,45054.3,False
J Informacion y comunicaciones,J,2023,Ambos sexos,39674.43,False
J Informacion y comunicaciones,J,2023,Mujeres,36392.76,False
J Informacion y comunicaciones,J,2023,Hombres,41536.56,False
J Informacion y comunicaciones,J,2022,Ambos sexos,37438.55,False
J Informacion y comunicaciones,J,2022,Mujeres,34306.95,False
J Informacion y comunicaciones,J,2022,Hombres,39135.1,False
J Informacion y comunicaciones,J,2021,Ambos sexos,36630.48,False
J Informacion y comunicaciones,J,2021,Mujeres,33225.56,False
J Informacion y comunicaciones,J,2021,Hombres,38514.17,False
J Informacion y comunicaciones,J,2020,Ambos sexos,35663.8,False
J Informacion y comunicaciones,J,2020,Mujeres,32227.73,False
J Informacion y comunicaciones,J,2020,Hombres,37580.51,False
J Informacion y comunicaciones,J,2019,Ambos sexos,34641.28,False
J Informacion y comunicaciones,J,2019,Mujeres,30898.57,False
J Informacion y comunicaciones,J,2019,Hombres,36746.41,False
J Informacion y comunicaciones,J,2018,Ambos sexos,33117.64,False
J Informacion y comunicaciones,J,2018,Mujeres,29099.47,False
J Informacion y comunicaciones,J,2018,Hombres,35411.23,False
J Informacion y comunicaciones,J,2017,Ambos sexos,33664.26,False
J Informacion y comunicaciones,J,2017,Mujeres,30015.53,False
J Informacion y comunicaciones,J,2017,Hombres,35768.78,False
J Informacion y comunicaciones,J,2016,Ambos sexos,32448.31,False
J Informacion y comunicaciones,J,2016,Mujeres,28834.47,False
J Informacion y comunicaciones,J,2016,Hombres,34475.06,False
J Informacion y comunicaciones,J,2015,Ambos sexos,33046.23,False
J Informacion y comunicaciones,J,2015,Mujeres,28935.74,False
J Informacion y comunicaciones,J,2015,Hombres,35417.86,False
J Informacion y comunicaciones,J,2014,Ambos sexos,32754.21,False
J Informacion y comunicaciones,J,2014,Mujeres,29223.97,False
J Informacion y comunicaciones,J,2014,Hombres,34740.6,False
J Informacion y comunicaciones,J,2013,Ambos sexos,33137.17,False
J Informacion y comunicaciones,J,2013,Mujeres,28651.29,False
J Informacion y comunicaciones,J,2013,Hombres,35756.26,False
J Informacion y comunicaciones,J,2012,Ambos sexos,32522.11,False
J Informacion y comunicaciones,J,2012,Mujeres,28166.28,False
J Informacion y comunicaciones,J,2012,Hombres,35196.03,False
J Informacion y comunicaciones,J,2011,Ambos sexos,32491.04,False
J Informacion y comunicaciones,J,2011,Mujeres,28464.25,False
J Informacion y comunicaciones,J,2011,Hombres,34990.87,False
J Informacion y comunicaciones,J,2010,Ambos sexos,32425.68,False
J Informacion y comunicaciones,J,2010,Mujeres,28610.13,False
J Informacion y comunicaciones,J,2010,Hombres,34726.99,False
J Informacion y comunicaciones,J,2009,Ambos sexos,31551.65,False
J Informacion y comunicaciones,J,2009,Mujeres,26716.32,False
J Informacion y comunicaciones,J,2009,Hombres,34513.44,False
J Informacion y comunicaciones,J,2008,Ambos sexos,30628.48,False
J Informacion y comunicaciones,J,2008,Mujeres,26573.64,False
J Informacion y comunicaciones,J,2008,Hombres,33090.09,False
K Actividades financieras y de seguros,K,2024,Ambos sexos,51862.9,False
K Actividades financieras y de seguros,K,2024,Mujeres,46725.49,False
K Actividades financieras y de seguros,K,2024,Hombres,58783.66,False
K Actividades financieras y de seguros,K,2023,Ambos sexos,48922.8,False
K Actividades financieras y de seguros,K,2023,Mujeres,44032.07,False
K Actividades financieras y de seguros,K,2023,Hombres,55401.96,False
K Actividades financieras y de seguros,K,2022,Ambos sexos,47239.53,False
K Actividades financieras y de seguros,K,2022,Mujeres,42214.85,False
K Actividades financieras y de seguros,K,2022,Hombres,53969.55,False
K Actividades financieras y de seguros,K,2021,Ambos sexos,46122.24,False
K Actividades financieras y de seguros,K,2021,Mujeres,40990.22,False
K Actividades financieras y de seguros,K,2021,Hombres,52714.92,False
K Actividades financieras y de seguros,K,2020,Ambos sexos,45921.78,False
K Actividades financieras y de seguros,K,2020,Mujeres,40159.77,False
K Actividades financieras y de seguros,K,2020,Hombres,52920.77,False
K Actividades financieras y de seguros,K,2019,Ambos sexos,44302.71,False
K Actividades financieras y de seguros,K,2019,Mujeres,39100.52,False
K Actividades financieras y de seguros,K,2019,Hombres,50830.71,False
K Actividades financieras y de seguros,K,2018,Ambos sexos,45034.53,False
K Actividades financieras y de seguros,K,2018,Mujeres,39662.45,False
K Actividades financieras y de seguros,K,2018,Hombres,51843.11,False
K Actividades financieras y de seguros,K,2017,Ambos sexos,43773.58,False
K Actividades financieras y de seguros,K,2017,Mujeres,38521.06,False
K Actividades financieras y de seguros,K,2017,Hombres,50049.17,False
K Actividades financieras y de seguros,K,2016,Ambos sexos,42684.65,False
K Actividades financieras y de seguros,K,2016,Mujeres,36939.55,False
K Actividades financieras y de seguros,K,2016,Hombres,49257.63,False
K Actividades financieras y de seguros,K,2015,Ambos sexos,41547.07,False
K Actividades financieras y de seguros,K,2015,Mujeres,36455.79,False
K Actividades financieras y de seguros,K,2015,Hombres,47533.67,False
K Actividades financieras y de seguros,K,2014,Ambos sexos,40696.06,False
K Actividades financieras y de seguros,K,2014,Mujeres,35829.24,False
K Actividades financieras y de seguros,K,2014,Hombres,46260.67,False
K Actividades financieras y de seguros,K,2013,Ambos sexos,39607.49,False
K Actividades financieras y de seguros,K,2013,Mujeres,33941.56,False
K Actividades financieras y de seguros,K,2013,Hombres,45963.58,False
K Actividades financieras y de seguros,K,2012,Ambos sexos,41905.6,False
K Actividades financieras y de seguros,K,2012,Mujeres,36421.03,False
K Actividades financieras y de seguros,K,2012,Hombres,47464.8,False
K Actividades financieras y de seguros,K,2011,Ambos sexos,41124.22,False
K Actividades financieras y de seguros,K,2011,Mujeres,35428.15,False
K Actividades financieras y de seguros,K,2011,Hombres,46858.52,False
K Actividades financieras y de seguros,K,2010,Ambos sexos,41638.7,False
K Actividades financieras y de seguros,K,2010,Mujeres,35922.39,False
K Actividades financieras y de seguros,K,2010,Hombres,47081.23,False
K Actividades financieras y de seguros,K,2009,Ambos sexos,41863.11,False
K Actividades financieras y de seguros,K,2009,Mujeres,34772.53,False
K Actividades financieras y de seguros,K,2009,Hombres,48054.65,False
K Actividades financieras y de seguros,K,2008,Ambos sexos,41619.07,False
K Actividades financieras y de seguros,K,2008,Mujeres,34946.34,False
K Actividades financieras y de seguros,K,2008,Hombres,47725.32,False
L Actividades inmobiliarias,L,2024,Ambos sexos,28854.03,False
L Actividades inmobiliarias,L,2024,Mujeres,26324.26,False
L Actividades inmobiliarias,L,2024,Hombres,32499.74,False
L Actividades inmobiliarias,L,2023,Ambos sexos,27443.78,False
L Actividades inmobiliarias,L,2023,Mujeres,24867.95,False
L Actividades inmobiliarias,L,2023,Hombres,31040.51,False
L Actividades inmobiliarias,L,2022,Ambos sexos,26172.9,False
L Actividades inmobiliarias,L,2022,Mujeres,23538.96,False
L Actividades inmobiliarias,L,2022,Hombres,30649.13,False
L Actividades inmobiliarias,L,2021,Ambos sexos,24835.23,False
L Actividades inmobiliarias,L,2021,Mujeres,21787.72,False
L Actividades inmobiliarias,L,2021,Hombres,29120.96,False
L Actividades inmobiliarias,L,2020,Ambos sexos,23354.7,False
L Actividades inmobiliarias,L,2020,Mujeres,20142.44,False
L Actividades inmobiliarias,L,2020,Hombres,28191.02,False
L Actividades inmobiliarias,L,2019,Ambos sexos,23333.16,False
L Actividades inmobiliarias,L,2019,Mujeres,19981.82,False
L Actividades inmobiliarias,L,2019,Hombres,28296.98,False
L Actividades inmobiliarias,L,2018,Ambos sexos,21249.15,False
L Actividades inmobiliarias,L,2018,Mujeres,18744.33,False
L Actividades inmobiliarias,L,2018,Hombres,25083.49,False
L Actividades inmobiliarias,L,2017,Ambos sexos,21299.08,False
L Actividades inmobiliarias,L,2017,Mujeres,18488.32,False
L Actividades inmobiliarias,L,2017,Hombres,25392.77,False
L Actividades inmobiliarias,L,2016,Ambos sexos,20899.35,False
L Actividades inmobiliarias,L,2016,Mujeres,17809.07,False
L Actividades inmobiliarias,L,2016,Hombres,25172.74,False
L Actividades inmobiliarias,L,2015,Ambos sexos,20540.02,False
L Actividades inmobiliarias,L,2015,Mujeres,17330.11,False
L Actividades inmobiliarias,L,2015,Hombres,25763.32,False
L Actividades inmobiliarias,L,2014,Ambos sexos,20619.89,False
L Actividades inmobiliarias,L,2014,Mujeres,17775.63,False
L Actividades inmobiliarias,L,2014,Hombres,24909.19,False
L Actividades inmobiliarias,L,2013,Ambos sexos,19156.0,False
L Actividades inmobiliarias,L,2013,Mujeres,16700.49,False
L Actividades inmobiliarias,L,2013,Hombres,22821.1,False
L Actividades inmobiliarias,L,2012,Ambos sexos,19806.64,False
L Actividades inmobiliarias,L,2012,Mujeres,17538.33,False
L Actividades inmobiliarias,L,2012,Hombres,23419.14,False
L Actividades inmobiliarias,L,2011,Ambos sexos,20349.1,False
L Actividades inmobiliarias,L,2011,Mujeres,17988.21,False
L Actividades inmobiliarias,L,2011,Hombres,24150.05,False
L Actividades inmobiliarias,L,2010,Ambos sexos,19879.3,False
L Actividades inmobiliarias,L,2010,Mujeres,17089.82,False
L Actividades inmobiliarias,L,2010,Hombres,23993.28,False
L Actividades inmobiliarias,L,2009,Ambos sexos,19770.52,False
L Actividades inmobiliarias,L,2009,Mujeres,17103.63,False
L Actividades inmobiliarias,L,2009,Hombres,24134.65,False
L Actividades inmobiliarias,L,2008,Ambos sexos,19533.83,False
L Actividades inmobiliarias,L,2008,Mujeres,16850.02,False
L Actividades inmobiliarias,L,2008,Hombres,23815.81,False
"M Actividades profesionales, cientificas y tecnicas",M,2024,Ambos sexos,35165.11,False
"M Actividades profesionales, cientificas y tecnicas",M,2024,Mujeres,31047.52,False
"M Actividades profesionales, cientificas y tecnicas",M,2024,Hombres,40070.08,False
"M Actividades profesionales, cientificas y tecnicas",M,2023,Ambos sexos,32547.76,False
"M Actividades profesionales, cientificas y tecnicas",M,2023,Mujeres,28661.79,False
"M Actividades profesionales, cientificas y tecnicas",M,2023,Hombres,37139.77,False
"M Actividades profesionales, cientificas y tecnicas",M,2022,Ambos sexos,30947.87,False
"M Actividades profesionales, cientificas y tecnicas",M,2022,Mujeres,26804.95,False
"M Actividades profesionales, cientificas y tecnicas",M,2022,Hombres,36259.18,False
"M Actividades profesionales, cientificas y tecnicas",M,2021,Ambos sexos,29926.53,False
"M Actividades profesionales, cientificas y tecnicas",M,2021,Mujeres,25741.8,False
"M Actividades profesionales, cientificas y tecnicas",M,2021,Hombres,34926.19,False
"M Actividades profesionales, cientificas y tecnicas",M,2020,Ambos sexos,28918.19,False
"M Actividades profesionales, cientificas y tecnicas",M,2020,Mujeres,24433.23,False
"M Actividades profesionales, cientificas y tecnicas",M,2020,Hombres,34161.9,False
"M Actividades profesionales, cientificas y tecnicas",M,2019,Ambos sexos,28150.21,False
"M Actividades profesionales, cientificas y tecnicas",M,2019,Mujeres,23592.72,False
"M Actividades profesionales, cientificas y tecnicas",M,2019,Hombres,33541.11,False
"M Actividades profesionales, cientificas y tecnicas",M,2018,Ambos sexos,28058.48,False
"M Actividades profesionales, cientificas y tecnicas",M,2018,Mujeres,23409.52,False
"M Actividades profesionales, cientificas y tecnicas",M,2018,Hombres,33778.27,False
"M Actividades profesionales, cientificas y tecnicas",M,2017,Ambos sexos,27450.26,False
"M Actividades profesionales, cientificas y tecnicas",M,2017,Mujeres,22708.98,False
"M Actividades profesionales, cientificas y tecnicas",M,2017,Hombres,33020.51,False
"M Actividades profesionales, cientificas y tecnicas",M,2016,Ambos sexos,26520.32,False
"M Actividades profesionales, cientificas y tecnicas",M,2016,Mujeres,21942.88,False
"M Actividades profesionales, cientificas y tecnicas",M,2016,Hombres,31967.2,False
"M Actividades profesionales, cientificas y tecnicas",M,2015,Ambos sexos,26347.37,False
"M Actividades profesionales, cientificas y tecnicas",M,2015,Mujeres,21980.57,False
"M Actividades profesionales, cientificas y tecnicas",M,2015,Hombres,31586.27,False
"M Actividades profesionales, cientificas y tecnicas",M,2014,Ambos sexos,26275.51,False
"M Actividades profesionales, cientificas y tecnicas",M,2014,Mujeres,21964.47,False
"M Actividades profesionales, cientificas y tecnicas",M,2014,Hombres,31673.25,False
"M Actividades profesionales, cientificas y tecnicas",M,2013,Ambos sexos,25472.07,False
"M Actividades profesionales, cientificas y tecnicas",M,2013,Mujeres,21226.6,False
"M Actividades profesionales, cientificas y tecnicas",M,2013,Hombres,30643.51,False
"M Actividades profesionales, cientificas y tecnicas",M,2012,Ambos sexos,25098.86,False
"M Actividades profesionales, cientificas y tecnicas",M,2012,Mujeres,20753.36,False
"M Actividades profesionales, cientificas y tecnicas",M,2012,Hombres,30381.47,False
"M Actividades profesionales, cientificas y tecnicas",M,2011,Ambos sexos,25350.42,False
"M Actividades profesionales, cientificas y tecnicas",M,2011,Mujeres,21157.99,False
"M Actividades profesionales, cientificas y tecnicas",M,2011,Hombres,30460.83,False
"M Actividades profesionales, cientificas y tecnicas",M,2010,Ambos sexos,25531.08,False
"M Actividades profesionales, cientificas y tecnicas",M,2010,Mujeres,21309.65,False
"M Actividades profesionales, cientificas y tecnicas",M,2010,Hombres,30649.18,False
"M Actividades profesionales, cientificas y tecnicas",M,2009,Ambos sexos,25516.94,False
"M Actividades profesionales, cientificas y tecnicas",M,2009,Mujeres,20598.86,False
"M Actividades profesionales, cientificas y tecnicas",M,2009,Hombres,31325.34,False
"M Actividades profesionales, cientificas y tecnicas",M,2008,Ambos sexos,24733.75,False
"M Actividades profesionales, cientificas y tecnicas",M,2008,Mujeres,19829.67,False
"M Actividades profesionales, cientificas y tecnicas",M,2008,Hombres,30329.05,False
N Actividades administrativas y servicios auxiliares,N,2024,Ambos sexos,21096.87,False
N Actividades administrativas y servicios auxiliares,N,2024,Mujeres,17611.54,False
N Actividades administrativas y servicios auxiliares,N,2024,Hombres,25450.66,False
N Actividades administrativas y servicios auxiliares,N,2023,Ambos sexos,19891.91,False
N Actividades administrativas y servicios auxiliares,N,2023,Mujeres,16766.78,False
N Actividades administrativas y servicios auxiliares,N,2023,Hombres,23799.31,False
N Actividades administrativas y servicios auxiliares,N,2022,Ambos sexos,18995.66,False
N Actividades administrativas y servicios auxiliares,N,2022,Mujeres,16391.55,False
N Actividades administrativas y servicios auxiliares,N,2022,Hombres,22360.55,False
N Actividades administrativas y servicios auxiliares,N,2021,Ambos sexos,18118.66,False
N Actividades administrativas y servicios auxiliares,N,2021,Mujeres,15248.42,False
N Actividades administrativas y servicios auxiliares,N,2021,Hombres,21648.58,False
N Actividades administrativas y servicios auxiliares,N,2020,Ambos sexos,17808.53,False
N Actividades administrativas y servicios auxiliares,N,2020,Mujeres,14835.74,False
N Actividades administrativas y servicios auxiliares,N,2020,Hombres,21522.75,False
N Actividades administrativas y servicios auxiliares,N,2019,Ambos sexos,17107.54,False
N Actividades administrativas y servicios auxiliares,N,2019,Mujeres,14322.39,False
N Actividades administrativas y servicios auxiliares,N,2019,Hombres,20661.14,False
N Actividades administrativas y servicios auxiliares,N,2018,Ambos sexos,17176.75,False
N Actividades administrativas y servicios auxiliares,N,2018,Mujeres,14101.23,False
N Actividades administrativas y servicios auxiliares,N,2018,Hombres,20793.89,False
N Actividades administrativas y servicios auxiliares,N,2017,Ambos sexos,16519.76,False
N Actividades administrativas y servicios auxiliares,N,2017,Mujeres,13604.08,False
N Actividades administrativas y servicios auxiliares,N,2017,Hombres,20174.91,False
N Actividades administrativas y servicios auxiliares,N,2016,Ambos sexos,16139.11,False
N Actividades administrativas y servicios auxiliares,N,2016,Mujeres,13309.47,False
N Actividades administrativas y servicios auxiliares,N,2016,Hombres,19749.55,False
N Actividades administrativas y servicios auxiliares,N,2015,Ambos sexos,15948.63,False
N Actividades administrativas y servicios auxiliares,N,2015,Mujeres,13085.14,False
N Actividades administrativas y servicios auxiliares,N,2015,Hombres,19823.51,False
N Actividades administrativas y servicios auxiliares,N,2014,Ambos sexos,15766.08,False
N Actividades administrativas y servicios auxiliares,N,2014,Mujeres,12922.01,False
N Actividades administrativas y servicios auxiliares,N,2014,Hombres,19623.29,False
N Actividades administrativas y servicios auxiliares,N,2013,Ambos sexos,15809.74,False
N Actividades administrativas y servicios auxiliares,N,2013,Mujeres,13028.72,False
N Actividades administrativas y servicios auxiliares,N,2013,Hombres,19466.1,False
N Actividades administrativas y servicios auxiliares,N,2012,Ambos sexos,16130.55,False
N Actividades administrativas y servicios auxiliares,N,2012,Mujeres,13273.88,False
N Actividades administrativas y servicios auxiliares,N,2012,Hombres,19875.18,False
N Actividades administrativas y servicios auxiliares,N,2011,Ambos sexos,16199.14,False
N Actividades administrativas y servicios auxiliares,N,2011,Mujeres,13246.21,False
N Actividades administrativas y servicios auxiliares,N,2011,Hombres,19762.5,False
N Actividades administrativas y servicios auxiliares,N,2010,Ambos sexos,15682.32,False
N Actividades administrativas y servicios auxiliares,N,2010,Mujeres,12864.94,False
N Actividades administrativas y servicios auxiliares,N,2010,Hombres,19705.22,False
N Actividades administrativas y servicios auxiliares,N,2009,Ambos sexos,15855.38,False
N Actividades administrativas y servicios auxiliares,N,2009,Mujeres,13056.08,False
N Actividades administrativas y servicios auxiliares,N,2009,Hombres,19132.9,False
N Actividades administrativas y servicios auxiliares,N,2008,Ambos sexos,15818.18,False
N Actividades administrativas y servicios auxiliares,N,2008,Mujeres,13303.46,False
N Actividades administrativas y servicios auxiliares,N,2008,Hombres,18666.16,False
O Administracion Publica y defensa; Seguridad Social,O,2024,Ambos sexos,37517.88,False
O Administracion Publica y defensa; Seguridad Social,O,2024,Mujeres,35694.12,False
O Administracion Publica y defensa; Seguridad Social,O,2024,Hombres,39489.64,False
O Administracion Publica y defensa; Seguridad Social,O,2023,Ambos sexos,36383.99,False
O Administracion Publica y defensa; Seguridad Social,O,2023,Mujeres,34584.95,False
O Administracion Publica y defensa; Seguridad Social,O,2023,Hombres,38237.83,False
O Administracion Publica y defensa; Seguridad Social,O,2022,Ambos sexos,34036.02,False
O Administracion Publica y defensa; Seguridad Social,O,2022,Mujeres,32272.17,False
O Administracion Publica y defensa; Seguridad Social,O,2022,Hombres,35813.05,False
O Administracion Publica y defensa; Seguridad Social,O,2021,Ambos sexos,34010.01,False
O Administracion Publica y defensa; Seguridad Social,O,2021,Mujeres,32137.79,False
O Administracion Publica y defensa; Seguridad Social,O,2021,Hombres,35908.23,False
O Administracion Publica y defensa; Seguridad Social,O,2020,Ambos sexos,32581.96,False
O Administracion Publica y defensa; Seguridad Social,O,2020,Mujeres,31268.62,False
O Administracion Publica y defensa; Seguridad Social,O,2020,Hombres,33931.79,False
O Administracion Publica y defensa; Seguridad Social,O,2019,Ambos sexos,31090.95,False
O Administracion Publica y defensa; Seguridad Social,O,2019,Mujeres,29992.17,False
O Administracion Publica y defensa; Seguridad Social,O,2019,Hombres,32213.06,False
O Administracion Publica y defensa; Seguridad Social,O,2018,Ambos sexos,29824.04,False
O Administracion Publica y defensa; Seguridad Social,O,2018,Mujeres,28095.08,False
O Administracion Publica y defensa; Seguridad Social,O,2018,Hombres,31469.33,False
O Administracion Publica y defensa; Seguridad Social,O,2017,Ambos sexos,29015.05,False
O Administracion Publica y defensa; Seguridad Social,O,2017,Mujeres,27391.38,False
O Administracion Publica y defensa; Seguridad Social,O,2017,Hombres,30581.96,False
O Administracion Publica y defensa; Seguridad Social,O,2016,Ambos sexos,29134.91,False
O Administracion Publica y defensa; Seguridad Social,O,2016,Mujeres,27547.36,False
O Administracion Publica y defensa; Seguridad Social,O,2016,Hombres,30712.29,False
O Administracion Publica y defensa; Seguridad Social,O,2015,Ambos sexos,28559.79,False
O Administracion Publica y defensa; Seguridad Social,O,2015,Mujeres,27305.84,False
O Administracion Publica y defensa; Seguridad Social,O,2015,Hombres,29827.97,False
O Administracion Publica y defensa; Seguridad Social,O,2014,Ambos sexos,27568.54,False
O Administracion Publica y defensa; Seguridad Social,O,2014,Mujeres,26267.91,False
O Administracion Publica y defensa; Seguridad Social,O,2014,Hombres,28772.03,False
O Administracion Publica y defensa; Seguridad Social,O,2013,Ambos sexos,27707.13,False
O Administracion Publica y defensa; Seguridad Social,O,2013,Mujeres,25583.73,False
O Administracion Publica y defensa; Seguridad Social,O,2013,Hombres,29827.25,False
O Administracion Publica y defensa; Seguridad Social,O,2012,Ambos sexos,26878.73,False
O Administracion Publica y defensa; Seguridad Social,O,2012,Mujeres,25092.34,False
O Administracion Publica y defensa; Seguridad Social,O,2012,Hombres,28632.29,False
O Administracion Publica y defensa; Seguridad Social,O,2011,Ambos sexos,27816.09,False
O Administracion Publica y defensa; Seguridad Social,O,2011,Mujeres,25850.93,False
O Administracion Publica y defensa; Seguridad Social,O,2011,Hombres,29877.61,False
O Administracion Publica y defensa; Seguridad Social,O,2010,Ambos sexos,28001.68,False
O Administracion Publica y defensa; Seguridad Social,O,2010,Mujeres,26224.16,False
O Administracion Publica y defensa; Seguridad Social,O,2010,Hombres,29872.45,False
O Administracion Publica y defensa; Seguridad Social,O,2009,Ambos sexos,27590.9,False
O Administracion Publica y defensa; Seguridad Social,O,2009,Mujeres,25830.1,False
O Administracion Publica y defensa; Seguridad Social,O,2009,Hombres,29382.33,False
O Administracion Publica y defensa; Seguridad Social,O,2008,Ambos sexos,26927.57,False
O Administracion Publica y defensa; Seguridad Social,O,2008,Mujeres,24860.38,False
O Administracion Publica y defensa; Seguridad Social,O,2008,Hombres,29023.9,False
P Educacion,P,2024,Ambos sexos,32210.11,False
P Educacion,P,2024,Mujeres,31350.59,False
P Educacion,P,2024,Hombres,33953.98,False
P Educacion,P,2023,Ambos sexos,30913.75,False
P Educacion,P,2023,Mujeres,30342.13,False
P Educacion,P,2023,Hombres,32129.3,False
P Educacion,P,2022,Ambos sexos,29263.89,False
P Educacion,P,2022,Mujeres,28258.5,False
P Educacion,P,2022,Hombres,31290.07,False
P Educacion,P,2021,Ambos sexos,28272.76,False
P Educacion,P,2021,Mujeres,27453.63,False
P Educacion,P,2021,Hombres,29804.04,False
P Educacion,P,2020,Ambos sexos,27076.32,False
P Educacion,P,2020,Mujeres,26349.55,False
P Educacion,P,2020,Hombres,28469.49,False
P Educacion,P,2019,Ambos sexos,25913.06,False
P Educacion,P,2019,Mujeres,25220.98,False
P Educacion,P,2019,Hombres,27292.76,False
P Educacion,P,2018,Ambos sexos,23679.17,False
P Educacion,P,2018,Mujeres,23225.84,False
P Educacion,P,2018,Hombres,24532.37,False
P Educacion,P,2017,Ambos sexos,23559.77,False
P Educacion,P,2017,Mujeres,22784.01,False
P Educacion,P,2017,Hombres,25093.05,False
P Educacion,P,2016,Ambos sexos,22289.73,False
P Educacion,P,2016,Mujeres,21622.53,False
P Educacion,P,2016,Hombres,23662.96,False
P Educacion,P,2015,Ambos sexos,21667.33,False
P Educacion,P,2015,Mujeres,20981.61,False
P Educacion,P,2015,Hombres,23143.33,False
P Educacion,P,2014,Ambos sexos,20925.83,False
P Educacion,P,2014,Mujeres,20347.91,False
P Educacion,P,2014,Hombres,22079.28,False
P Educacion,P,2013,Ambos sexos,21946.95,False
P Educacion,P,2013,Mujeres,20974.85,False
P Educacion,P,2013,Hombres,23890.76,False
P Educacion,P,2012,Ambos sexos,21596.16,False
P Educacion,P,2012,Mujeres,20700.46,False
P Educacion,P,2012,Hombres,23477.45,False
P Educacion,P,2011,Ambos sexos,21564.58,False
P Educacion,P,2011,Mujeres,20797.76,False
P Educacion,P,2011,Hombres,23271.51,False
P Educacion,P,2010,Ambos sexos,21751.87,False
P Educacion,P,2010,Mujeres,20872.37,False
P Educacion,P,2010,Hombres,23453.74,False
P Educacion,P,2009,Ambos sexos,21703.1,False
P Educacion,P,2009,Mujeres,21459.46,False
P Educacion,P,2009,Hombres,22237.76,False
P Educacion,P,2008,Ambos sexos,20883.28,False
P Educacion,P,2008,Mujeres,20591.85,False
P Educacion,P,2008,Hombres,21489.54,False
Q Actividades sanitarias y de servicios sociales,Q,2024,Ambos sexos,32224.93,False
Q Actividades sanitarias y de servicios sociales,Q,2024,Mujeres,30197.1,False
Q Actividades sanitarias y de servicios sociales,Q,2024,Hombres,39246.0,False
Q Actividades sanitarias y de servicios sociales,Q,2023,Ambos sexos,31211.67,False
Q Actividades sanitarias y de servicios sociales,Q,2023,Mujeres,29198.31,False
Q Actividades sanitarias y de servicios sociales,Q,2023,Hombres,38317.12,False
Q Actividades sanitarias y de servicios sociales,Q,2022,Ambos sexos,30381.25,False
Q Actividades sanitarias y de servicios sociales,Q,2022,Mujeres,28312.57,False
Q Actividades sanitarias y de servicios sociales,Q,2022,Hombres,37097.58,False
Q Actividades sanitarias y de servicios sociales,Q,2021,Ambos sexos,28891.41,False
Q Actividades sanitarias y de servicios sociales,Q,2021,Mujeres,26403.18,False
Q Actividades sanitarias y de servicios sociales,Q,2021,Hombres,37270.15,False
Q Actividades sanitarias y de servicios sociales,Q,2020,Ambos sexos,28313.74,False
Q Actividades sanitarias y de servicios sociales,Q,2020,Mujeres,25957.39,False
Q Actividades sanitarias y de servicios sociales,Q,2020,Hombres,36248.27,False
Q Actividades sanitarias y de servicios sociales,Q,2019,Ambos sexos,27557.2,False
Q Actividades sanitarias y de servicios sociales,Q,2019,Mujeres,25432.12,False
Q Actividades sanitarias y de servicios sociales,Q,2019,Hombres,34771.18,False
Q Actividades sanitarias y de servicios sociales,Q,2018,Ambos sexos,26851.1,False
Q Actividades sanitarias y de servicios sociales,Q,2018,Mujeres,24599.63,False
Q Actividades sanitarias y de servicios sociales,Q,2018,Hombres,34173.79,False
Q Actividades sanitarias y de servicios sociales,Q,2017,Ambos sexos,26076.47,False
Q Actividades sanitarias y de servicios sociales,Q,2017,Mujeres,23839.44,False
