title,location_normalized,role_category,experience_level,comunidad_autonoma,salario_bruto_anual_est,regional_multiplier
Data Analyst - Partners & Brands (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Privacy Operations Data Analyst,"sant cugat del vallès, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Analista Predictivo,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Partner Ops Excellence (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Reporting Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst,"palau-solità i plegamans, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst - Fraud (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Reporting Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Reporting Data Analyst/Developer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst (Power BI & SQL),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Consultor BI Microsoft,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
GO! Graduate IoT & Data Analysis,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst - vpTech Data team,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Analist funcional BI,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Data Analyst (m|f|d) at Dein Traumjob wartet!,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Analyst - Scheduling (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Game Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Desarrollador Big Data (Girona),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Incubation Senior Finance & Data Analyst,"sant cugat del vallès, cataluña, españa",data_analyst,Senior,Total Nacional,49000.0,1.0
GO! Graduate IT & Data Analysis,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Analyst - A/B testing,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Master Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer (They/He/She),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Quantitative Analyst,"barcelona, cataluña, españa",backend,Senior,Cataluna,51556.8,1.0741
Finance Data Analyst (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data analyst - Food Solutions (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Qcommerce - Sales,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Mid / Senior Data Analyst - Central Data team,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data & Insights Analyst,"esplugues de llobregat, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
"DATA ANALYST – We have tons of data,what can you do with it ?","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Fraud Data Analyst (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Acquisition (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Global Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Crew Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Business Data Analyst for Tax Engine,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Food Innovation,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Talent Team (m/f/d),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Food Innovation (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,españa,data_engineer,Mid,Total Nacional,43500.0,1.0
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Business Intelligence Analyst (Barcelona),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
JUNIOR DATA ENGINEER,"barcelona, cataluña, españa",data_engineer,Junior,Cataluna,33297.1,1.0741
Data Analyst - Q-Commerce - Sales,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Lead Data Analyst - Crypto,españa,data_analyst,Senior,Total Nacional,49000.0,1.0
Senior Data Scientist - Pricing analytics,"sant cugat del vallès, cataluña, españa",data_scientist,Senior,Total Nacional,62500.0,1.0
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Head of Data Analytics (They /She/ He),"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Business Intelligence Consultant,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Business Intelligence Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst - Delivery Flow Team (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Software Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Celonis Data Analyst,"el prat de llobregat, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Product Data Analyst (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
DATA ENGINEER (H/M),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
"Customer Engineer,Data Analytics,Google Cloud","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Game Data Analyst (M/F),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Data Analyst - BI Team,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer (Madrid o Barcelona),barcelona y alrededores,data_engineer,Mid,Cataluna,46723.35,1.0741
DATA ENGINEER (H/M),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data engineer - MDM,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
"Data Analyst,Pricing-ESP","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
"Strategic Data Analyst,International - Remote","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Digital Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Intelligence Analyst (Remote),"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Vulnerability Intelligence Analyst (Remote),"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Junior Data Engineer,"barcelona, cataluña, españa",data_engineer,Junior,Cataluna,33297.1,1.0741
Senior Data Analyst - Product,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
CRM-Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
(Senior) Data Analyst m/f/d I on-site or remote,españa,data_analyst,Senior,Total Nacional,49000.0,1.0
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Analyst - Product,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer Internship,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer BI,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer BI,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Biostatistician II,"barcelona, cataluña, españa",mobile,Mid,Cataluna,41889.9,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Digital Marketing Data Analyst/Data Scientist,"sant cugat del vallès, cataluña, españa",data_scientist,Mid,Total Nacional,42000.0,1.0
Business Data Analyst (They/She/He),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Junior Data Analyst,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Scientist - Insurance / Financial Services Background,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
EMEA BI Sr Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Analyst,españa,data_analyst,Mid,Total Nacional,36500.0,1.0
"Senior Data Analyst (Bangkok Based,relocation provided)","barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Junior Solution Engineer DWH/BI,"barcelona, cataluña, españa",backend,Junior,Cataluna,26852.5,1.0741
Research Data Scientist,españa,data_scientist,Mid,Total Nacional,42000.0,1.0
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Ad Operations Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Analista Funcional BI,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
"Data Analyst,Pricing-ESP","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer - BI,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Governance Analyst - Europe remote,españa,data_analyst,Mid,Total Nacional,36500.0,1.0
People Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Product Data Analyst (f/m/d),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Business Intelligence Engineer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Visualization Engineer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Credit Intelligence Analyst,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Data Analyst- Finance,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
BI Designer and Data Visualization,"sant cugat del vallès, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
"Business Intelligence Engineer,EMEA GES","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Junior Data Scraping Engineer (Python),"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
Data Engineer BI,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Business Intelligence Consultant,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Business Intelligence Analyst (Senior),"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Business Intelligence Engineer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Analista de datos ELK,españa,data_analyst,Mid,Total Nacional,36500.0,1.0
Business Intelligence Consultant,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
BI Consultant,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Junior Data Scientist - Python,"barcelona, cataluña, españa",data_scientist,Junior,Cataluna,32223.0,1.0741
IT | Data Analyst | Cataluña,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer Junior - BI,"barcelona, cataluña, españa",data_engineer,Junior,Cataluna,33297.1,1.0741
Data Engineer BI,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
BI Data Analyst (M/F),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst,"cerdanyola del vallès, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst - Qcommerce - Partner Operations,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Business Data Analyst for Tax Engine,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Marketing Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer - BI (They/She/He),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Business Data Analyst for Tax Engine,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Product Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
BI Specialist,"vic, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
"Senior Data Analyst,Vendor Analytics – Digital Markets","barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer - BI (They/She/He),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Analyst,barcelona y alrededores,data_analyst,Mid,Cataluna,39204.65,1.0741
Data & Analytics products and Services (DAPS) Internal Communications Intern,"esplugues de llobregat, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
"Data Engineer,EU Workforce Staffing","barcelona, cataluña, españa",data_engineer,Senior,Cataluna,69816.5,1.0741
Data Engineer,barcelona y alrededores,data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Data Analyst,"mobile, brainly, españa",data_analyst,Senior,Total Nacional,49000.0,1.0
Business Intelligence Engineer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
"Data Analyst,Marketplace","barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Business Intelligence & Insights Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Engineer,barcelona y alrededores,data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Data Analyst/Scientist,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Senior Data Analyst,"growth, brainly, españa",data_analyst,Senior,Total Nacional,49000.0,1.0
Data Analyst - Qcommerce - Partner Operations,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
CONSULTOR BI,"barcelona, cataluña, españa",backend,Mid,Cataluna,38130.55,1.0741
Big Data engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Data Engineer,españa,data_engineer,Mid,Total Nacional,43500.0,1.0
Junior Big Data Developer (Tech Support) - Google Cloud Platform,barcelona y alrededores,data_analyst,Junior,Cataluna,27926.6,1.0741
Senior Intelligence Analyst (Remote),"barcelona, cataluña, españa",backend,Senior,Cataluna,51556.8,1.0741
Senior Data Analyst,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Engineer,"sabadell, cataluña, españa",data_engineer,Mid,Total Nacional,43500.0,1.0
Data Engineer (Returnly),españa,data_engineer,Mid,Total Nacional,43500.0,1.0
Consultor/a Analytics Qlik Sense,españa,data_analyst,Mid,Total Nacional,36500.0,1.0
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Migration Analyst,"sant cugat del vallès, cataluña, españa",data_analyst,Mid,Total Nacional,36500.0,1.0
Master Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Power BI Consultant (I&D),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Analyst/Web Analyst (M/F),"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Junior Data Analyst,"barcelona, cataluña, españa",data_analyst,Junior,Cataluna,27926.6,1.0741
,españa,backend,Mid,Total Nacional,35500.0,1.0
Data Science,"barcelona, cataluña, españa",data_scientist,Mid,Cataluna,45112.2,1.0741
Data Analyst,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer (P.A-0104),"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Junior Data Scientist,"barcelona, cataluña, españa",data_scientist,Junior,Cataluna,32223.0,1.0741
Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Business Intelligence Developer / Analyst (f/m/d).,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Business Intelligence Specialist,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Senior Product Data Analyst - Experimentation,"barcelona, cataluña, españa",data_analyst,Senior,Cataluna,52630.9,1.0741
Data Analyst / BI Developer,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Ingeniero/a Big Data,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Google Professional Data Engineer,"barcelona, cataluña, españa",data_engineer,Mid,Cataluna,46723.35,1.0741
Web Analyst - Adobe Analytics,"barcelona, cataluña, españa",data_analyst,Mid,Cataluna,39204.65,1.0741
Data Engineer,españa,data_engineer,Mid,Total Nacional,43500.0,1.0
