Title,Experience Level,Remote Status,Normalized Salary,Views,Applies,Location,Company Name,Formatted Work Type,Formatted Experience Level,Max Salary,Med Salary,Min Salary,Pay Period,Currency,Zip Code,Fips,City,Original Listed Time
data scientist lead – telematics (remote),Mid-Senior,Remote,,7.0,,"san antonio, tx",usaa,Full-time,Mid-Senior level,,,,,,78201.0,48029.0,san antonio,1712897887000.0
data scientist lead – telematics (remote),Mid-Senior,Remote,222545.0,4.0,,"austin, tx",usaa,Full-time,Mid-Senior level,286130.0,,158960.0,YEARLY,USD,78701.0,48453.0,austin,1712897874000.0
founding data scientist,Unknown,Remote,,3.0,1.0,united states,,Part-time,,,,,,,,,united states,1712902180000.0
medical data analyst / programmer,Unknown,Unknown,82500.0,2.0,,"new york, ny",nippon life benefits,Full-time,,95000.0,,70000.0,YEARLY,USD,10001.0,36061.0,new york,1712857638000.0
business analytics associate,Entry Level,Unknown,,6.0,1.0,"chicago, il",above lending,Full-time,Entry level,,,,,,60601.0,17031.0,chicago,1712854156000.0
data engineer ii,Mid-Senior,Unknown,135200.0,70.0,40.0,"bellevue, wa",advantis global is becoming inspyr solutions,Contract,Mid-Senior level,65.0,,65.0,HOURLY,USD,98004.0,53033.0,bellevue,1712854440000.0
director of business analytics,Director,Unknown,,5.0,,"chicago, il",above lending,Full-time,Director,,,,,,60601.0,17031.0,chicago,1712854152000.0
"senior software engineer, machine learning",Unknown,Remote,,7.0,,"palo alto, ca",ziprecruiter,Full-time,,,,,,,94301.0,6085.0,palo alto,1712854646000.0
"senior software engineer, machine learning",Unknown,Remote,,7.0,,"santa monica, ca",ziprecruiter,Full-time,,,,,,,90401.0,6037.0,santa monica,1712854646000.0
machine learning engineer,Unknown,Unknown,195500.0,6.0,,"santa clara, ca",qualcomm,Full-time,,234500.0,,156500.0,YEARLY,USD,95050.0,6085.0,santa clara,1712854833000.0
data analyst - financial,Entry Level,Unknown,,17.0,3.0,"san antonio, tx",frost,Full-time,Entry level,,,,,,78201.0,48029.0,san antonio,1710694645000.0
"(senior) bioinformatics data engineer, translational and quantitative sciences data engineering",Mid-Senior,Unknown,,6.0,,"princeton, nj",genmab,Full-time,Mid-Senior level,,,,,,8540.0,34021.0,princeton,1712854963000.0
"director, commercial operations (capital equipment sales effectiveness, enablement, analytics, excellence) (on-site)",Director,Unknown,,3.0,,"deerfield, il",baxter international inc.,Full-time,Director,,,,,,60015.0,17097.0,deerfield,1712707200000.0
senior director of analytics,Director,Unknown,300000.0,10.0,2.0,san francisco bay area,harnham,Full-time,Director,350000.0,,250000.0,YEARLY,USD,,,san francisco bay area,1712855413000.0
data scientist - ai investment,Mid-Senior,Remote,225000.0,47.0,16.0,united states,burton recruitment limited,Full-time,Mid-Senior level,250000.0,,200000.0,YEARLY,USD,,,united states,1712855944000.0
data architect (p&c insurance),Mid-Senior,Remote,,2.0,,united states,"r2 technologies, inc.",Full-time,Mid-Senior level,,,,,,,,united states,1712855988000.0
senior manager - forecasting & analytics,Mid-Senior,Unknown,,5.0,,"atlanta, ga",comcast,Full-time,Mid-Senior level,,,,,,30303.0,13121.0,atlanta,1712856357000.0
gcp data architect,Unknown,Unknown,,3.0,,"columbus, oh",compunnel inc.,Contract,,,,,,,43085.0,39049.0,columbus,1712856971000.0
lead data engineer,Mid-Senior,Remote,167500.0,2.0,,"nashville, tn",otterbase,Full-time,Mid-Senior level,180000.0,,155000.0,YEARLY,USD,37201.0,47037.0,nashville,1712857420000.0
gcp data architect,Mid-Senior,Unknown,140400.0,3.0,,"columbus, ohio metropolitan area",compunnel inc.,Contract,Mid-Senior level,70.0,,65.0,HOURLY,USD,,,columbus,1712857487000.0
data scientist,Mid-Senior,Unknown,,7.0,1.0,"california, united states",e-solutions,Contract,Mid-Senior level,,,,,,,,california,1712857325000.0
"exciting opportunity: global analytics, bi manager (contract-to-hire)",Mid-Senior,Unknown,,9.0,,"wisconsin, united states",bayforce,Contract,Mid-Senior level,,,,,,,,wisconsin,1712857578000.0
data engineer,Mid-Senior,Unknown,,6.0,2.0,"harrisburg, pa",sigma resources llc,Full-time,Mid-Senior level,,,,,,17101.0,42043.0,harrisburg,1712857792000.0
lead business intelligence developer,Mid-Senior,Unknown,,2.0,,"louisville, ky",ingenium talent,Full-time,Mid-Senior level,,,,,,40202.0,21111.0,louisville,1712858203000.0
machine learning engineer,Unknown,Unknown,100000.0,5.0,1.0,new york city metropolitan area,the rockefeller university,Full-time,,130000.0,,70000.0,YEARLY,USD,,,new york city metropolitan area,1712858266000.0
digital analytics manager,Associate,Remote,140000.0,2.0,,united states,harnham,Full-time,Associate,,140000.0,,YEARLY,USD,,,united states,1712858514000.0
global analytics & bi manager,Mid-Senior,Unknown,,2.0,,"milwaukee, wi",bayforce,Full-time,Mid-Senior level,,,,,,53202.0,55079.0,milwaukee,1712859109000.0
senior director – enterprise data engineering,Director,Unknown,254900.0,3.0,,"illinois, united states",mckesson,Full-time,Director,318600.0,,191200.0,YEARLY,USD,,,illinois,1712859932000.0
data analyst,Entry Level,Unknown,95000.0,6.0,,"atlanta, ga",complete staffing solutions,Full-time,Entry level,95000.0,,95000.0,YEARLY,USD,30303.0,13121.0,atlanta,1712859882000.0
data engineer,Entry Level,Unknown,,5.0,,"dallas, tx",mckesson,Full-time,Entry level,,,,,,75201.0,48113.0,dallas,1712859936000.0
senior data analyst,Associate,Unknown,,2.0,,"richardson, tx",educated solutions corp,Full-time,Associate,,,,,,75080.0,48113.0,richardson,1712860031000.0
senior azure data engineer,Mid-Senior,Remote,,10.0,5.0,united states,talent groups,Contract,Mid-Senior level,,,,,,,,united states,1712860299000.0
machine learning engineer,Unknown,Remote,,2.0,,united states,boldpine,Full-time,,,,,,,,,united states,1712861362000.0
machine learning engineer,Mid-Senior,Unknown,225000.0,1.0,,"new york, ny",searchability®,Full-time,Mid-Senior level,250000.0,,200000.0,YEARLY,USD,10001.0,36061.0,new york,1712860600000.0
lead data engineer,Unknown,Unknown,130000.0,3.0,,"wilmington, de","pyramid consulting, inc",Contract,,65.0,,60.0,HOURLY,USD,19801.0,10003.0,wilmington,1712860842000.0
ai engineer,Entry Level,Unknown,176800.0,1.0,,"maine, il",lasalle network,Full-time,Entry level,85.0,,85.0,HOURLY,USD,62061.0,17119.0,maine,1712861225000.0
sr. aws data engineer - hybrid,Mid-Senior,Unknown,,2.0,,"baltimore, md",cognizant,Full-time,Mid-Senior level,,,,,,21201.0,24510.0,baltimore,1712861452000.0
"data architect onsite/somerville, ma",Mid-Senior,Unknown,,4.0,,"somerville, ma",radiansys inc.,Contract,Mid-Senior level,,,,,,2143.0,25017.0,somerville,1712862050000.0
data engineer,Unknown,Unknown,,4.0,,new york city metropolitan area,,Full-time,,,,,,,,,new york city metropolitan area,1712862108000.0
data architect(azure service fabric) onsite,Mid-Senior,Unknown,,2.0,,"reno, nv",radiansys inc.,Full-time,Mid-Senior level,,,,,,89501.0,32031.0,reno,1712862083000.0
big data engineer,Mid-Senior,Unknown,,,1.0,"dallas, tx",themesoft inc.,Contract,Mid-Senior level,,,,,,75201.0,48113.0,dallas,1712862414000.0
bi data architect,Mid-Senior,Remote,,1.0,,united states,nam info inc,Contract,Mid-Senior level,,,,,,,,united states,1712863696000.0
senior financial data analyst,Mid-Senior,Unknown,85000.0,1.0,,"boulder, co","the geo group, inc.",Full-time,Mid-Senior level,90000.0,,80000.0,YEARLY,USD,80301.0,8013.0,boulder,1712863604000.0
"junior associate, data & analytics - chi",Entry Level,Unknown,,1.0,,"chicago, il",adtheorent,Full-time,Entry level,,,,,,60601.0,17031.0,chicago,1712864126000.0
data analyst,Mid-Senior,Remote,,4.0,,united states,quantum world technologies inc.,Contract,Mid-Senior level,,,,,,,,united states,1712864724000.0
senior data analyst,Associate,Unknown,,6.0,,"chicago, il",bp,Full-time,Associate,,,,,,60601.0,17031.0,chicago,1712865105000.0
data analyst,Entry Level,Remote,,10.0,3.0,new york city metropolitan area,coders data,Full-time,Entry level,,,,,,,,new york city metropolitan area,1712865833000.0
quantative risk / financial data analytics consultant,Mid-Senior,Remote,,1.0,,"atlanta, ga",amtex systems inc.,Contract,Mid-Senior level,,,,,,30303.0,13121.0,atlanta,1712866502000.0
practice group senior data analyst,Mid-Senior,Unknown,,4.0,,"philadelphia, pa","morgan, lewis & bockius llp",Full-time,Mid-Senior level,,,,,,19102.0,42101.0,philadelphia,1712869458000.0
global quality process development & data analytics leader,Director,Unknown,,3.0,,"clearwater, fl",ge vernova,Full-time,Director,,,,,,33755.0,,clearwater,1712869714000.0
data analyst,Unknown,Unknown,,5.0,,"richmond, va",community foundation for a greater richmond,Full-time,,,,,,,23219.0,51760.0,richmond,1712883841000.0
"senior business intelligence analyst, marketing",Mid-Senior,Remote,152000.0,5.0,,united states,zillow,Full-time,Mid-Senior level,187000.0,,117000.0,YEARLY,USD,,,united states,1712882711000.0
"senior practice principal -data, analytics, ai (us remote)",Director,Remote,195700.0,4.0,,"texas, united states",dxc technology,Full-time,Director,254400.0,,137000.0,YEARLY,USD,,,texas,1712793600000.0
data engineer sme (data collection engines) - u.s. citizenship required,Entry Level,Unknown,,4.0,,"fairfax, va",cgi,Full-time,Entry level,,,,,,22030.0,51600.0,fairfax,1712887742000.0
"senior/lead data analyst, finance & strategy",Mid-Senior,Unknown,161000.0,14.0,,"san francisco, ca",chime,Full-time,Mid-Senior level,207300.0,,114700.0,YEARLY,USD,94101.0,6075.0,san francisco,1712793600000.0
"engineering manager, analytics",Mid-Senior,Remote,,5.0,,united states,vidmob,Full-time,Mid-Senior level,,,,,,,,united states,1712889563000.0
digital analytics & insights analyst,Unknown,Unknown,,12.0,3.0,"new brunswick, nj",johnson & johnson,Full-time,,,,,,,8901.0,34023.0,new brunswick,1712890560000.0
software engineer iii - machine learning,Mid-Senior,Unknown,,5.0,,"framingham, ma",staples,Full-time,Mid-Senior level,,,,,,1701.0,25017.0,framingham,1712793600000.0
advanced business intelligence analyst,Mid-Senior,Unknown,,8.0,,"ann arbor, mi",saint joseph mercy health system,Full-time,Mid-Senior level,,,,,,48103.0,26161.0,ann arbor,1712793600000.0
credit data analyst 3 (remote),Mid-Senior,Remote,129750.0,4.0,,"centennial, co",nordstrom,Full-time,Mid-Senior level,170500.0,,89000.0,YEARLY,USD,81125.0,8011.0,centennial,1712892063000.0
credit data analyst 2 (remote),Mid-Senior,Remote,110750.0,220.0,16.0,united states,nordstrom,Full-time,Mid-Senior level,145000.0,,76500.0,YEARLY,USD,,,united states,1712892062000.0
retail banking center distribution strategy and analytics manager,Mid-Senior,Unknown,,3.0,,"dallas, tx",comerica bank,Full-time,Mid-Senior level,,,,,,75201.0,48113.0,dallas,1712891679000.0
manufacturing data architect,Mid-Senior,Unknown,141750.0,5.0,,"san jose, ca",western digital,Full-time,Mid-Senior level,166200.0,,117300.0,YEARLY,USD,95101.0,6085.0,san jose,1712891685000.0
"director, data and analytics enablement",Director,Unknown,,2.0,,"frisco, tx",comerica bank,Full-time,Director,,,,,,75033.0,,frisco,1712891678000.0
enterprise payments data analytics business analyst,Associate,Unknown,151350.0,11.0,2.0,"charlotte, nc",wells fargo,Full-time,Associate,206100.0,,96600.0,YEARLY,USD,28202.0,37119.0,charlotte,1712892329000.0
staff data engineer / ai / snowflake,Mid-Senior,Unknown,,8.0,1.0,"los angeles, ca",motion recruitment,Full-time,Mid-Senior level,,,,,,90001.0,6037.0,los angeles,1712892047000.0
enterprise payments data analytics business analyst,Associate,Unknown,151350.0,4.0,,"new york, ny",wells fargo,Full-time,Associate,206100.0,,96600.0,YEARLY,USD,10001.0,36061.0,new york,1712892329000.0
microsoft azure data analytics and bi lead,Unknown,Unknown,,4.0,,"new jersey, united states",ubs,Full-time,,,,,,,,,new jersey,1712893171000.0
tiktok shop - data scientist - user growth,Unknown,Unknown,240201.5,13.0,2.0,"seattle, wa",tiktok,Full-time,,312866.0,,167537.0,YEARLY,USD,98101.0,53033.0,seattle,1712893476000.0
tiktok shop - data scientist - user growth,Unknown,Unknown,252844.0,10.0,1.0,"san jose, ca",tiktok,Full-time,,329333.0,,176355.0,YEARLY,USD,95101.0,6085.0,san jose,1712893788000.0
data architect,Mid-Senior,Unknown,,11.0,2.0,"indianapolis, in",activecampaign,Full-time,Mid-Senior level,,,,,,46201.0,18097.0,indianapolis,1712848777000.0
"machine learning engineer, e-commerce",Unknown,Unknown,250000.0,9.0,1.0,"san jose, ca",tiktok,Full-time,,355000.0,,145000.0,YEARLY,USD,95101.0,6085.0,san jose,1712894642000.0
"machine learning engineer, e-commerce",Unknown,Unknown,237500.0,5.0,,"seattle, wa",tiktok,Full-time,,337250.0,,137750.0,YEARLY,USD,98101.0,53033.0,seattle,1712894628000.0
"machine learning engineer, search - e-commerce",Unknown,Unknown,237500.0,4.0,,"seattle, wa",tiktok,Full-time,,337250.0,,137750.0,YEARLY,USD,98101.0,53033.0,seattle,1712894629000.0
"machine learning engineer, recommendation - e-commerce",Unknown,Unknown,250000.0,4.0,,"san jose, ca",tiktok,Full-time,,355000.0,,145000.0,YEARLY,USD,95101.0,6085.0,san jose,1712894824000.0
"analytics manager, global coffee (remote)",Unknown,Remote,,10.0,,"seattle, wa",starbucks,Full-time,,,,,,,98101.0,53033.0,seattle,1712793600000.0
"devops engineer, transaction banking, cloud data engineering",Mid-Senior,Unknown,,14.0,3.0,"dallas, tx",goldman sachs,Full-time,Mid-Senior level,,,,,,75201.0,48113.0,dallas,1712880000000.0
senior developer relationship manager – physics informed machine learning,Mid-Senior,Unknown,259625.0,6.0,,"santa clara, ca",nvidia,Full-time,Mid-Senior level,339250.0,,180000.0,YEARLY,USD,95050.0,6085.0,santa clara,1712793600000.0
"sr ad, clinical systems & analytics",Mid-Senior,Unknown,231500.0,7.0,,"ridgefield, ct",boehringer ingelheim,Full-time,Mid-Senior level,280000.0,,183000.0,YEARLY,USD,6877.0,9001.0,ridgefield,1712897044000.0
"senior data scientist, developer experience",Mid-Senior,Unknown,196000.0,18.0,6.0,"boston, ma",klaviyo,Full-time,Mid-Senior level,235200.0,,156800.0,YEARLY,USD,2108.0,25025.0,boston,1712793600000.0
"senior data scientist, internal operations",Mid-Senior,Unknown,196000.0,21.0,4.0,"boston, ma",klaviyo,Full-time,Mid-Senior level,235200.0,,156800.0,YEARLY,USD,2108.0,25025.0,boston,1712793600000.0
machine learning compiler engineer,Unknown,Unknown,185500.0,5.0,1.0,"austin, tx",qualcomm,Full-time,,222500.0,,148500.0,YEARLY,USD,78701.0,48453.0,austin,1712897947000.0
part-time mentor - data analyst/business analyst (daba),Mid-Senior,Remote,,3.0,,united states,interview kickstart,Part-time,Mid-Senior level,,,,,,,,united states,1712897880000.0
machine learning compiler engineer,Unknown,Unknown,185500.0,29.0,3.0,"san diego, ca",qualcomm,Full-time,,222500.0,,148500.0,YEARLY,USD,92101.0,6073.0,san diego,1712897947000.0
data engineer 3: 24-00989,Mid-Senior,Remote,112320.0,5.0,,"austin, tx","akraya, inc.",Full-time,Mid-Senior level,55.0,,53.0,HOURLY,USD,78701.0,48453.0,austin,1712793600000.0
part-time data engineering mentor,Mid-Senior,Remote,,3.0,,united states,interview kickstart,Part-time,Mid-Senior level,,,,,,,,united states,1712900412000.0
part-time machine learning mentor (us),Mid-Senior,Remote,,2.0,,united states,interview kickstart,Part-time,Mid-Senior level,,,,,,,,united states,1712900207000.0
data analyst,Mid-Senior,Unknown,125000.0,48.0,13.0,cincinnati metropolitan area,catapult solutions group,Full-time,Mid-Senior level,140000.0,,110000.0,YEARLY,USD,,,cincinnati metropolitan area,1713207362000.0
commercial insights & analytics analyst,Unknown,Unknown,,175.0,,"plainsboro, nj",radiant systems inc,Contract,,,,,,,8536.0,34023.0,plainsboro,1713208660000.0
nhl data scientist,Mid-Senior,Remote,141000.0,50.0,5.0,united states,swish analytics,Full-time,Mid-Senior level,175000.0,,107000.0,YEARLY,USD,,,united states,1713207128000.0
azure data engineer,Mid-Senior,Remote,,110.0,74.0,united states,,Contract,Mid-Senior level,,,,,,,,united states,1713207033000.0
data engineer,Entry Level,Unknown,,14.0,8.0,"cleveland, oh",chmura economics & analytics,Full-time,Entry level,,,,,,44102.0,39035.0,cleveland,1713209419000.0
data analyst,Associate,Unknown,,174.0,85.0,"los angeles county, ca","first tek, inc.",Contract,Associate,,,,,,90001.0,6037.0,los angeles county,1713209302000.0
data engineer with ocr expertise in life sciences,Unknown,Unknown,,14.0,,"sterling, va",ignitec inc,Full-time,,,,,,,20164.0,,sterling,1713206484000.0
data analyst,Unknown,Remote,,102.0,34.0,"los angeles, ca","techgroup america ""tga"" - a software development, data analytics and digital it solutions enterprise",Contract,,,,,,,90001.0,6037.0,los angeles,1713206475000.0
data management – business data analyst,Unknown,Unknown,,44.0,5.0,"dallas, tx",softcom systems inc,Contract,,,,,,,75201.0,48113.0,dallas,1713209743000.0
machine learning operations and data engineer,Unknown,Unknown,165000.0,25.0,9.0,"berkeley, ca",emancro,Full-time,,180000.0,,150000.0,YEARLY,USD,94702.0,6001.0,berkeley,1713207234000.0
data scientist with genai,Unknown,Unknown,,46.0,6.0,"plano, tx",topsys it,Contract,,,,,,,75023.0,48085.0,plano,1713206476000.0
"senior data engineer, governance",Mid-Senior,Remote,170000.0,80.0,20.0,united states,gamechanger,Full-time,Mid-Senior level,190000.0,,150000.0,YEARLY,USD,,,united states,1713209405000.0
data analyst 1 - 10315,Associate,Remote,57200.0,284.0,110.0,united states,bluestone staffing,Contract,Associate,30.0,,25.0,HOURLY,USD,,,united states,1713206527000.0
data scientist,Mid-Senior,Unknown,,141.0,56.0,"bentonville, ar",centraprise,Full-time,Mid-Senior level,,,,,,72712.0,5007.0,bentonville,1713210229000.0
snowflake data analyst,Unknown,Unknown,,106.0,44.0,"new york, ny",sysmind,Contract,,,,,,,10001.0,36061.0,new york,1713210921000.0
business data analyst,Unknown,Unknown,,132.0,53.0,"fremont, ca",alpha net,Contract,,,,,,,94536.0,6001.0,fremont,1713210352000.0
data engineer with ocr expertise in life sciences,Unknown,Unknown,,60.0,22.0,"sterling, va",ignitec inc,Full-time,,,,,,,20164.0,,sterling,1713207046000.0
gcp data engineer,Unknown,Remote,,152.0,,"san francisco, ca",qualitative financials,Contract,,,,,,,94101.0,6075.0,san francisco,1713211500000.0
oracle analytics cloud technical developer,Unknown,Unknown,,61.0,6.0,"new jersey, united states",righttalents llc,Contract,,,,,,,,,new jersey,1713209761000.0
data analyst,Associate,Unknown,69780.0,650.0,339.0,"san diego, ca",vervent,Full-time,Associate,73000.0,,66560.0,YEARLY,USD,92101.0,6073.0,san diego,1713212166000.0
oracle analytics cloud technical developer,Unknown,Unknown,,65.0,5.0,"new jersey, united states",righttalents llc,Contract,,,,,,,,,new jersey,1713209644000.0
"data analyst, medicare sales & retention",Entry Level,Unknown,,258.0,111.0,"new york, ny",healthfirst,Full-time,Entry level,,,,,,10001.0,36061.0,new york,1713139200000.0
data analyst,Entry Level,Unknown,62400.0,147.0,50.0,"warren, mi",ektello,Contract,Entry level,32.0,,28.0,HOURLY,USD,48088.0,26125.0,warren,1713209832000.0
data analyst,Associate,Unknown,78000.0,80.0,25.0,"roswell, ga",stone resource group,Contract,Associate,40.0,,35.0,HOURLY,USD,30075.0,13089.0,roswell,1713210029000.0
data engineer -w2,Unknown,Unknown,,26.0,11.0,"richmond, va",it america inc,Full-time,,,,,,,23219.0,51760.0,richmond,1713212641000.0
business data analyst,Associate,Unknown,,335.0,174.0,los angeles metropolitan area,cypress hcm,Contract,Associate,,,,,,,,los angeles metropolitan area,1713210953000.0
senior data scientist,Director,Unknown,150000.0,199.0,73.0,"san luis obispo county, ca",availability professional staffing,Full-time,Director,180000.0,,120000.0,YEARLY,USD,93401.0,6079.0,san luis obispo county,1713211726000.0
senior data engineering manager (us) consumer pod,Mid-Senior,Unknown,172500.0,46.0,7.0,"new york, ny",curinos,Full-time,Mid-Senior level,185000.0,,160000.0,YEARLY,USD,10001.0,36061.0,new york,1713212198000.0
senior etl data engineer - reinsurance - remote,Mid-Senior,Remote,,372.0,167.0,united states,avesta computer services,Full-time,Mid-Senior level,,,,,,,,united states,1713213043000.0
data analyst,Mid-Senior,Unknown,,169.0,,"alameda, ca",intellectt inc,Contract,Mid-Senior level,,,,,,94501.0,6001.0,alameda,1713214295000.0
aep consultant / data engineer,Mid-Senior,Remote,,44.0,18.0,washington dc-baltimore area,pamten inc,Full-time,Mid-Senior level,,,,,,,,washington dc-baltimore area,1713211775000.0
senior data analyst,Unknown,Unknown,,31.0,8.0,"charlotte, nc",stanley david and associates,Full-time,,,,,,,28202.0,37119.0,charlotte,1713212141000.0
sr. genai engineer,Unknown,Unknown,,14.0,3.0,"irving, tx","infotech spectrum inc,",Full-time,,,,,,,75038.0,48113.0,irving,1713213467000.0
data engineer,Mid-Senior,Remote,6900400.0,88.0,31.0,united states,koantek,Part-time,Mid-Senior level,6570.0,,65.0,HOURLY,USD,,,united states,1713212081000.0
senior data architect,Mid-Senior,Remote,,6.0,,"tysons corner, va",management concepts,Full-time,Mid-Senior level,,,,,,24149.0,51121.0,tysons corner,1713214548000.0
business intelligence manager,Unknown,Unknown,,87.0,14.0,"burbank, ca",meraki7,Contract,,,,,,,91501.0,6037.0,burbank,1713212991000.0
data analyst ii,Entry Level,Unknown,,167.0,51.0,"alameda, ca",experis,Contract,Entry level,,,,,,94501.0,6001.0,alameda,1713139200000.0
compensation & analytics manager,Mid-Senior,Unknown,97500.0,17.0,2.0,"elk grove, ca",ultimate staffing,Full-time,Mid-Senior level,100000.0,,95000.0,YEARLY,USD,95624.0,6067.0,elk grove,1713214991000.0
senior data analyst - alteryx,Mid-Senior,Remote,,362.0,153.0,"santa monica, ca",trudata solutions,Contract,Mid-Senior level,,,,,,90401.0,6037.0,santa monica,1713214717000.0
data analyst,Unknown,Unknown,,183.0,,greater sacramento,lume consulting group,Contract,,,,,,,,,greater sacramento,1713213832000.0
talent management consultant / data analyst,Mid-Senior,Unknown,,45.0,11.0,"princeton, nj",experis,Contract,Mid-Senior level,,,,,,8540.0,34021.0,princeton,1713139200000.0
machine learning performance architect,Unknown,Unknown,,43.0,10.0,"santa clara, ca",d-matrix,Full-time,,,,,,,95050.0,6085.0,santa clara,1713215441000.0
data scientist / statistician intern summer 2024 (bachelor's),Unknown,Unknown,,70.0,16.0,"wickliffe, oh",the lubrizol corporation,Full-time,,,,,,,44092.0,39085.0,wickliffe,1711054784000.0
rcm data analyst,Entry Level,Unknown,,158.0,72.0,"nashville, tn",charlie health,Full-time,Entry level,,,,,,37201.0,47037.0,nashville,1713139200000.0
data scientist / statistician intern summer 2024 (ms/phd),Unknown,Unknown,,91.0,31.0,"wickliffe, oh",the lubrizol corporation,Full-time,,,,,,,44092.0,39085.0,wickliffe,1711054784000.0
data analyst,Unknown,Remote,,525.0,251.0,"carlsbad, ca",glds,Full-time,,,,,,,92008.0,6073.0,carlsbad,1713275509000.0
data analyst (onsite role - only w2),Associate,Unknown,67600.0,14.0,3.0,"plainsboro, nj",spectraforce,Contract,Associate,35.0,,30.0,HOURLY,USD,8536.0,34023.0,plainsboro,1713276835000.0
oracle analytics cloud technical developer,Mid-Senior,Remote,,81.0,16.0,united states,kapital,Contract,Mid-Senior level,,,,,,,,united states,1713276923000.0
junior business intelligence developer,Associate,Unknown,80000.0,44.0,22.0,washington dc-baltimore area,transperfect,Full-time,Associate,100000.0,,60000.0,YEARLY,USD,,,washington dc-baltimore area,1713277022000.0
data engineer,Mid-Senior,Unknown,114400.0,666.0,319.0,"san diego, ca",alois solutions,Contract,Mid-Senior level,60.0,,50.0,HOURLY,USD,92101.0,6073.0,san diego,1713277224000.0
senior data analyst,Unknown,Remote,,37.0,14.0,united states,tekinvaderz,Contract,,,,,,,,,united states,1713277522000.0
data analyst,Entry Level,Unknown,55120.0,32.0,13.0,"irvine, ca",zealotech people,Contract,Entry level,28.0,,25.0,HOURLY,USD,92602.0,,irvine,1713277514000.0
data architect,Mid-Senior,Unknown,,66.0,31.0,"denver, co",ehub global inc,Contract,Mid-Senior level,,,,,,80202.0,8031.0,denver,1713277371000.0
sr. data engineer _ nyc,Mid-Senior,Unknown,130000.0,106.0,57.0,new york city metropolitan area,synechron,Full-time,Mid-Senior level,135000.0,,125000.0,YEARLY,USD,,,new york city metropolitan area,1713276822000.0
data analyst,Associate,Unknown,56680.0,134.0,51.0,"irvine, ca","visium resources, inc.",Contract,Associate,28.5,,26.0,HOURLY,USD,92602.0,,irvine,1713276941000.0
financial and data analyst – regulatory compliance,Mid-Senior,Unknown,62250.0,3.0,,"kansas city, mo",evergy,Full-time,Mid-Senior level,75300.0,,49200.0,YEARLY,USD,64101.0,29095.0,kansas city,1713277254000.0
lead data analyst,Mid-Senior,Unknown,,151.0,,"denver, co",ehub global inc,Contract,Mid-Senior level,,,,,,80202.0,8031.0,denver,1713277503000.0
data engineer,Mid-Senior,Remote,,418.0,200.0,"charlotte, nc",agility partners,Full-time,Mid-Senior level,,,,,,28202.0,37119.0,charlotte,1713277871000.0
data scientist,Mid-Senior,Unknown,165000.0,383.0,150.0,"austin, texas metropolitan area","riverside staffing, llc",Full-time,Mid-Senior level,180000.0,,150000.0,YEARLY,USD,,,austin,1713277471000.0
senior data manager,Unknown,Unknown,,28.0,8.0,"chicago, il","tanisha systems, inc",Full-time,,,,,,,60601.0,17031.0,chicago,1713278555000.0
data analyst,Unknown,Unknown,92525.0,64.0,36.0,"purchase, ny",powertofly,Full-time,,110250.0,,74800.0,YEARLY,USD,10577.0,36119.0,purchase,1713278302000.0
data engineer,Unknown,Remote,,126.0,63.0,united states,mosaic labs,Contract,,,,,,,,,united states,1713278576000.0
data analyst,Mid-Senior,Unknown,,330.0,207.0,greater boston,avant-garde health,Full-time,Mid-Senior level,,,,,,,,greater boston,1713278739000.0
alteryx data analyst ( w2 contract,Unknown,Remote,,90.0,25.0,"manhattan beach, ca",ea team inc,Contract,,,,,,,90266.0,6037.0,manhattan beach,1713278689000.0
lead data analyst,Mid-Senior,Unknown,156000.0,284.0,95.0,"fairfax county, va",rjc group,Contract,Mid-Senior level,75.0,,75.0,HOURLY,USD,22030.0,51600.0,fairfax county,1713279641000.0
data architect,Director,Unknown,,37.0,12.0,"texas, united states",e-zest solutions,Full-time,Director,,,,,,,,texas,1713279130000.0
"senior programmer analyst, insight analytics",Associate,Unknown,76250.0,52.0,19.0,"washington, dc",eab,Full-time,Associate,90000.0,,62500.0,YEARLY,USD,20001.0,11001.0,washington,1713279256000.0
insights & analytics advisor,Associate,Remote,,13.0,4.0,united states,medical mutual,Full-time,Associate,,,,,,,,united states,1713279311000.0
"senior programmer analyst, insight analytics",Associate,Remote,76250.0,44.0,8.0,united states,eab,Full-time,Associate,90000.0,,62500.0,YEARLY,USD,,,united states,1713279256000.0
digital marketing manager - analytics (remote eligible),Unknown,Unknown,125000.0,13.0,,"springfield, il",rsm us llp,Full-time,,162200.0,,87800.0,YEARLY,USD,62701.0,17167.0,springfield,1713279476000.0
big data engineer (java+python+aws),Unknown,Unknown,,127.0,,"tampa, fl",compunnel inc.,Contract,,,,,,,33602.0,12057.0,tampa,1713279927000.0
securities quantitative analytics,Mid-Senior,Unknown,200000.0,56.0,10.0,"new york, united states",the nugget group your partner in progress,Full-time,Mid-Senior level,275000.0,,125000.0,YEARLY,USD,,,new york,1713280303000.0
"senior programmer analyst, insight analytics",Associate,Unknown,76250.0,32.0,11.0,"richmond, va",eab,Full-time,Associate,90000.0,,62500.0,YEARLY,USD,23219.0,51760.0,richmond,1713279256000.0
data scientist - genai - solution specialist - hybrid,Unknown,Unknown,,18.0,,"lake mary, fl",deloitte,Full-time,,,,,,,32746.0,12117.0,lake mary,1713279547000.0
