dataset,job_title,role_normalized,seniority,salary_usd,country,country_name,year_x,source,country_eurostat,year_int,country_code,year_y,gdp_per_capita_usd,ppp_rate,salary_ppp_usd
LinkedIn,data architect,Data Architect,,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal data scientist,Data Scientist,Principal,208000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"data engineer i, revenue reporting service",Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"sr. manager, business intelligence , community operations",BI Analyst,Manager,200950.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"data scientist, peopleinsight",Data Scientist,,162200.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. data scientist - iot and manufacturing,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-va,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data scientist - forecasting,Data Scientist,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-wa,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-il,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,mle/ai engineer summer intern,AI Engineer,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ca,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-tx,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer (internship),Data Engineer,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ny,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst/data science/nlp (intern apr 30) din01,Data Scientist,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence developer,BI Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst - power bi & sql,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/software programmer,Data Scientist,Junior,99500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst ii,Data Analyst,Mid,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
